GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFAddressFamily,144,323,25,29,32,91,24,29,1,24
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketImpl.AFOutputStreamImpl,26,119,15,15,8,29,13,7,1,4
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,SocketAddressUtil,12,13,1,1,5,4,2,2,1,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,InvalidArgumentSocketException,3,4,0,0,2,2,1,1,1,1
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSelectionKey,26,124,5,17,4,32,7,20,3,13
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSocketAddress,118,445,27,49,19,95,28,50,4,35
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,NativeLibraryLoader,196,470,40,38,53,114,36,25,4,18
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketFactory,59,65,11,11,14,16,9,9,0,7
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,NativeLibraryLoader.LibraryCandidate,6,6,0,0,1,3,1,1,1,1
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSelectorProvider,14,56,0,0,3,16,3,14,3,14
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,Closeables.HardReference,0,10,0,0,0,4,0,2,0,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketImpl,369,785,60,98,95,234,60,87,13,49
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketAddressFromHostname,6,0,2,0,1,0,2,0,1,0
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,NativeUnixSocket,39,93,3,3,15,36,4,8,1,8
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketFactory.FixedAddressSocketFactory,30,25,1,1,10,7,4,2,3,2
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFSocketProtocol,0,21,0,0,0,6,0,3,0,3
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSocketCapability,58,0,0,0,11,0,3,0,3,0
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXSocketPair,4,11,0,0,1,4,1,3,1,3
junixsocket-codecoverage/junixsocket-common,org.newsclub.net.unix,AFUNIXDatagramSocketImpl,0,18,0,0,0,5,0,3,0,3
